# French/Foreign Word Phoneme Map
# Generated from: french_words.txt
# Format: word | IPA phonemes | detected language
# Total: 897 mapped, 0 failed
#
abbé | a b e | fr
ranelagh | ʁ a n l a ɡ | fr
rashid | ʁ a ʃ i d | fr
rastignac | ʁ a s t i ɲ a k | fr
ratonneau | ʁ a t ɔ n o | fr
reggio | r e d d͡ʒ o | it
reichstadt | ʁ a eː ç s t a t | de
reine | ʁ ɛ n | fr
renaud | ʁ ə n o | fr
rendez | ʁ ɑ̃ d e | fr
rené | ʁ ə n e | fr
renée | ʁ ə n e | fr
renés | ʁ ə n e | fr
rhône | ʁ o n | fr
rimini | r i m i n i | it
riou | ʁ j u | fr
ripetta | r i p e t t a | it
rivoli | r i v o l i | it
robbia | r o b b i a | it
rocca | r o k k a | it
rogliano | r o ʎ ˈʎ a n o | it
romagna | r o m a ɲ ɲ a | it
rondolo | r o n d o l o | it
rospigliosi | r o s p i ʎ ʎ o z i | it
rospoli | r o s p o l i | it
roule | ʁ u l | fr
rouvroy | ʁ u v ʁ w a | fr
ruggieri | r u d ˈd͡ʒ ɛ r i | it
ruggieris | r u d ˈd͡ʒ e r i s | it
ruthwen | ʁ y t w ɛ n | fr
rutwen | ʁ y t w ɛ n | fr
râpée | ʁ a p e | fr
réserve | ʁ e z ɛ ʁ v | fr
réunion | ʁ e y n j ɔ̃ | fr
révolution | ʁ e v ɔ l y s j ɔ̃ | fr
sallon | s a l ɔ̃ | fr
salvieux | s a l v j ø | fr
santità | s a n t i ˈt a | it
saravezza | s a r a v e t t͡s a | it
sartène | s a ʁ t ɛ n | fr
saône | s o n | fr
sbogar | s b ɔ ɡ a ʁ | fr
scendi | ʃ e n d i | it
schnetz | ʃ n ɛ s | fr
scyros | s k i ʁ o | fr
sebastiano | s e b a s ˈt j a n o | it
selim | s e l ɛ̃ | fr
senac | s ə n a k | fr
senlis | s ɑ̃ l i | fr
septimus | s ɛ p t i m y | fr
servieux | s ɛ ʁ v j ø | fr
servières | s ɛ ʁ v j ɛ ʁ | fr
sette | ˈs ɛ t t e | it
severus | s ə v ə ʁ y | la
sigismund | s i ʒ i s m u n d | fr
simoun | s i m u n | fr
sisteron | s i s t ə ʁ ɔ̃ | fr
sistina | s i s t i n a | it
siècle | s j ɛ k l | fr
soirée | s w a ʁ e | fr
sonino | s o ˈn i n o | it
sonnino | s o n ˈn i n o | it
sono | ˈs o n o | it
spada | ˈs p a d a | it
spadas | s p a ˈd a s | it
spagna | ˈs p a ɲ ɲ a | it
spectaculis | s p ɛ k t a k y l i | la
speronare | s p e r o ˈn a r e | it
stathouder | s t a t u d e | fr
storta | ˈs t ɔ r t a | it
strada | ˈs t r a d a | it
substitut | s y p s t i t y | fr
substituts | s y b s t i t y | fr
sulpice | s y l p i s | fr
suo | ˈs u o | it
surdis | s y ʁ d i | fr
syrie | s i ʁ i | fr
sèvres | s ɛ v ʁ | fr
ségur | s e ɡ y ʁ | fr
sémaphore | s e m a f ɔ ʁ | fr
taormina | t a o r m i n a | it
taramis | t a ʁ a m i | fr
tarascon | t a ʁ a s k ɔ̃ | fr
tarasque | t a ʁ a s k | fr
tavoletta | t a v o ˈl e t t a | it
tavolette | t a v o l e t t e | it
tchodoars | t ʃ ɔ d ɔ a ʁ | fr
teatro | t e ˈa t r o | it
tebelin | t ə b l ɛ̃ | fr
tekel | t ɛ k ɛ l | fr
telesiphe | t ɛ l z i f | fr
tenacem | t ə n a s m | la
teniers | t ə n j e | fr
terlini | t e r l i n i | it
terracina | t e r r a t͡ʃ i n a | it
thalberg | t a l b ɛ ʁ k | de
thorwaldsen | t ɔ ʁ v a l t z ə n | de
théodule | t e o d y l | fr
théâtre | t e a t ʁ | fr
tiboulen | t i b u l | fr
tirés | t i ʁ e | fr
tmolus | t m ɔ l y | fr
tofana | t o f a n a | it
tokareva | t ɔ k a ʁ ə v a | fr
torlonia | t o r l o n i a | it
torre | ˈt o r r e | it
tortilly | t ɔ ʁ t i j i | fr
tournon | t u ʁ n ɔ̃ | fr
trahiret | t ʁ a i ʁ ɛ | fr
trasteveran | t ʁ a s t v ə ʁ ɑ̃ | fr
trenck | t ʁ ɑ̃ k | fr
trenk | t ʁ ɑ̃ k | fr
trestaillon | t ʁ ɛ s t a j ɔ̃ | fr
trieste | t ʁ j ɛ s t | fr
trinette | t ʁ i n ɛ t | fr
trocadero | t ʁ ɔ k a d ə ʁ o | fr
truphemy | t ʁ y f m i | fr
tréport | t ʁ e p ɔ ʁ | fr
trône | t ʁ o n | fr
tullia | t y l j a | fr
turque | t y ʁ k | fr
télémaque | t e l e m a k | fr
tête | t ɛ t | fr
ugolino | u ɡ o ˈl i n o | it
umberto | u m b e r t o | it
ungher | œ̃ ɡ e | fr
uzès | y z ɛ | fr
vaccino | v a t ˈt͡ʃ i n o | it
valmontone | v a l ˈm ɔ n t o n e | it
valère | v a l ɛ ʁ | fr
valérien | v a l e ʁ j ɛ̃ | fr
vampa | v ɑ̃ p a | fr
variétés | v a ʁ j e t e | fr
vasiliki | v a z i l i k i | fr
vatel | v a t ɛ l | fr
vaugirard | v ɔ ʒ i ʁ a ʁ | fr
vecchia | v e k k j a | it
vecchio | ˈv ɛ k k j o | it
velletri | v e l l e t r i | it
vendôme | v ɑ̃ d o m | fr
vente | v ɑ̃ t | fr
venusia | v e ˈn u ˈz j a | it
verschwörung | f ɛ ɐ ʃ v øː ʁ ʊ ŋ | de
veuves | v œ v | fr
victoire | v i k t w a ʁ | fr
vieilles | v j ɛ j | fr
vieux | v j ø | fr
vigny | v i ɲ i | fr
viktoria | v ɪ k t oː ʁ iː a | de
villefort | v i l f ɔ ʁ | fr
villeforts | v i l f ɔ ʁ | fr
villejuif | v i l ʒ ɥ i f | fr
villette | v i l ɛ t | fr
vincennes | v ɛ̃ s ɛ n | fr
vincoli | v i n k o l i | it
virum | v i ʁ y m | la
vittoria | v i t ˈt ɔ r j a | it
vivere | ˈv i v e r e | it
vous | v u | fr
vuillemot | v ɥ i j m o | fr
véronique | v e ʁ ɔ n i k | fr
wasilio | w a z i l j o | fr
zaccone | z a k ɔ n | fr
zurbaran | z y ʁ b a ʁ ɑ̃ | fr
âme | a m | fr
écarté | e k a ʁ t e | fr
écu | e k y | fr
écus | e k y | fr
épée | e p e | fr
état | e t a | fr
